SEI,Modalidade,Criação,ETP,CLIC,Situação,Objeto,Demandante,Conclusão
008138/2021-11,Pregão,23/02/2021,22/04/2021,22/04/2021,Homologado,Serviço,CLIC,21/06/21
008982/2021-42,Pregão,25/02/2021,06/04/2021,09/04/2021,Homologado,Material,ALMOX,03/08/21
008885/2021-50,Pregão,25/02/2021,08/04/2021,13/04/2021,Homologado,Material,CLIC,23/07/21
009244/2021-12,Pregão,26/02/2021,07/05/2021,07/05/2021,Homologado,Serviço,HVC,25/06/21
009745/2021-07,Pregão,01/03/2021,11/03/2021,29/03/2021,Homologado,Serviço,SUINFRA,24/08/21
009742/2021-65,Pregão,01/03/2021,11/03/2021,05/04/2021,Homologado,Material,PALOTINA,12/07/21
010700/2021-77,Pregão,04/03/2021,24/06/2021,07/07/2021,Homologado,Material,SUINFRA,22/10/21
012093/2021-80,Pregão,09/03/2021,05/04/2021,05/04/2021,Homologado,Material,ALMOX,12/07/21
012886/2021-07,Pregão,12/03/2021,28/04/2021,04/05/2021,Homologado,Material,SUINFRA,12/11/21
013558/2021-10,Pregão,16/03/2021,01/06/2021,15/06/2021,Fracassado,Material,PALOTINA,28/07/21
014229/2021-96,Pregão,18/03/2021,22/07/2021,27/07/2021,Homologado,Material,SUINFRA,18/11/21
014322/2021-09,Pregão,19/03/2021,03/03/2023,02/03/2023,Fracassado,Serviço,CLIC,17/04/23
014869/2021-04,Pregão,23/03/2021,01/10/2021,01/10/2021,Homologado,Serviço,SUINFRA,23/12/21
016821/2021-22,Pregão,05/04/2021,16/04/2021,19/04/2021,Homologado,Material,ALMOX,06/08/21
016818/2021-17,Pregão,05/04/2021,30/04/2021,18/05/2021,Homologado,Material,BL,10/08/21
017148/2021-48,Pregão,06/04/2021,25/04/2022,29/04/2022,Homologado,Material,CLIC,23/09/22
018075/2021-10,Pregão,12/04/2021,03/05/2021,04/05/2021,Homologado,Material,ALMOX,15/09/21
018669/2021-12,Pregão,14/04/2021,07/06/2021,08/06/2021,Fracassado,Material,CLIC,23/08/21
019001/2021-92,Pregão,15/04/2021,17/06/2021,08/06/2021,Homologado,Material,ET,16/08/21
019788/2021-92,Pregão,19/04/2021,30/04/2021,30/04/2021,Homologado,Material,CLIC,01/07/21
